date,data
1,508.70588235294116
2,502.94117647058823
3,410.1764705882353
4,328.11764705882354
5,498.1764705882353
6,490.6470588235294
7,495.1764705882353
8,504.0
9,502.29411764705884
10,405.70588235294116
11,327.3529411764706
12,482.8235294117647
13,491.7647058823529
14,513.8823529411765
15,508.8235294117647
16,502.29411764705884
17,408.1764705882353
18,291.8235294117647
19,462.94117647058823
20,490.29411764705884
21,498.11764705882354
22,499.5882352941176
23,509.3529411764706
24,420.1764705882353
25,312.1764705882353
26,483.8235294117647
27,489.5882352941176
28,492.05882352941177
29,491.4117647058824
30,503.5882352941176